LOCUS,GD,WD,PD,JD,JS,PS,GS,SUMMARY
5713:72 [5970],,m,,m,m,m,,
5715:57 [5971],,,m,m,m,m,m,
5715:68 [5972],,,,,,Sd,,
5715:77 [5973],m,m,,m,m,m,,
5715:78 [5974],Sd,m,,,,,,
5717:6 [5975],,,,,,,Sd,
5717:52 [5976],,,,,,,,
5718:40 [5977],m,m,,m,Sd,,m,
5721:33 [5978],m,m,m,m,,m,,
5721:73 [5979],,m,m,,m,,m,
5722:66 [5980],,,,,,,Sd,
5724:25 [5981],m,,,m,Sd,Sd,m,
5724:30 [5982],,m,m,m,m,m,m,
5724:37 [5983],,Sd,Sd,Sd,,,,
5724:40 [5984],m,m,,,m,,Sd,
5724:52 [5985],,m,,,,,,
5725:40 [5986],m,m,Sd,,,m,m,
5725:59 [5987],,,m,m,m,,,
5728:15 [5988],,,,,,,,
5728:25 [5989],m,m,m,,m,,m,
5728:41 [5990],,,,,,,,
5737:42 [5991],,m,Sd,m,,,,
5737:55 [5992],,Sd,Sd,Sd,m,Sd,Sd,SIGN
5737:76 [5993],m,m,m,,m,m,,
5740:14 [5994],m,,,m,m,m,,
5740:16 [5995],,,,,,,,
5740:29 [5996],m,,,m,,m,m,
5740:49 [5997],,,m,m,m,,,
5740:50 [5998],,,m,,,,Sd,
5741:4 [5999],m,,m,m,m,m,,
5741:13 [6000],m,m,m,m,m,m,,
5742:4 [6001],,,m,m,m,m,m,
5742:10 [6002],,,m,m,m,m,m,
5742:40 [6003],m,m,,m,,m,m,
5742:66 [6004],,,,,,m,,
5748:35 [6005],,Sd,,,,Sd,,
5748:37 [6006],,Sd,,,,Sd,,
5748:50 [6007],,,,,,,,
5749:15 [6008],m,,m,,m,m,,
5749:74 [6009],,Sd,,,Sd,,,
5755:46 [6010],,,m,,,,Sd,
5755:65 [6011],m,m,m,m,,m,,
5756:25 [6012],,,,,,,,
5756:36 [6013],,,,,,,,
5756:49 [6014],,,,,,,,
5756:60 [6015],Sd,m,m,,m,m,m,
5756:80 [6016],,,m,,Sd,Sd,,
5757:31 [6017],,Sd,,,,,Sd,
5757:60 [6018],,m,,,,,,
5766:9 [6019],,,m,,m,m,,
5766:11 [6020],,,m,,m,m,,
5766:13 [6021],,,,,,,,
5766:31 [6022],,,,m,m,,,
5766:40 [6023],,,m,,m,m,,
5766:41 [6024],m,m,m,,m,,m,
5766:44 [6025],,m,m,m,m,,m,
5766:46 [6026],,,m,,m,m,,
5766:55 [6027],,Sd,,,,,,
5769:65 [6028],,,,,,,,
5781:21 [6029],,m,,,,,,
5781:44 [6030],,,,,m,,,
5786:30 [6031],,,m,,m,,m,
5786:35 [6032],m,,m,,,,,
5799:26 [6033],,,,,,m,,
5801:9 [6034],m,m,,m,,,m,
5801:48 [6035],m,m,m,m,,,,
5802:17 [6036],,m,m,m,m,m,m,
5802:29 [6037],,,m,,m,Sd,,
5802:36 [6038],,,,,Sd,,Sd,
5802:52 [6039],,,,m,,,m,
5802:53 [6040],m,m,m,,,m,,
5802:55 [6041],Sd,,,,,,Sd,
5802:63 [6042],,Sd,,m,,Sd,,
5802:77 [6043],,,,,,,Sd,
5802:79 [6044],,,,m,,,,
5808:15 [6045],,m,m,m,m,m,,
5808:24 [6046],m,m,m,m,,m,,
5808:26 [6047],,m,m,,m,,,
5808:30 [6048],m,Sd,m,m,m,m,,
5809:10 [6049],m,m,m,m,,m,m,
5809:16 [6050],m,,,m,m,,,
5809:20 [6051],m,,m,m,m,,m,
5809:24 [6052],m,,m,m,m,,m,
5809:71 [6053],,,,Sd,,,,
5812:6 [6054],Sd,,,m,m,,m,
5812:13 [6055],,,,,,,,
5812:43 [6056],m,m,,m,m,m,,
5812:57 [6057],m,m,m,m,m,,,
5812:69 [6058],m,m,m,m,m,,,
5812:71 [6059],m,m,,m,m,m,,
5815:36 [6060],,,,,Sd,m,,
5819:32 [6061],m,m,,m,m,m,,
5821:60 [6062],m,,m,,,m,,
5826:16 [6063],,,,,,,,
5827:76 [6064],,,,,,Sd,,
5828:14 [6065],,m,m,,,,,
5828:27 [6066],,m,m,,,,,
5828:57 [6067],,,,,,,,
5831:5 [6068],m,m,,m,,,m,
5831:59 [6069],m,m,,m,,,m,
5841:58 [6070],m,m,,m,m,Sd,m,
5842:21 [6071],,,m,m,,m,m,
5842:34 [6072],,,Sd,,,,,
5843:11 [6073],m,m,,,,m,,
5843:23 [6074],m,m,,,m,m,m,
5843:28 [6075],m,m,,,m,m,m,
5844:63 [6076],m,,m,,m,m,,
5851:58 [6077],m,m,m,m,m,,,
5851:65 [6078],,,,,m,,,
5854:12 [6079],,,Sd,,Sd,,,
5855:6 [6080],,,m,m,,,m,
5856:3 [6081],m,,,,m,,,
5856:78 [6082],,m,,m,Sd,Sd,,
5858:2 [6083],m,,,m,,,,
5858:8 [6084],m,,m,m,m,,,
5858:24 [6085],m,,,m,,,,
5858:41 [6086],m,,,m,,,,
5858:71 [6087],,,,,,,,
5859:2 [6088],m,m,m,,,,,
5859:15 [6089],,,m,,m,,,
5859:22 [6090],,,,,,,,
5859:30 [6091],,m,,m,m,m,m,
5859:49 [6092],,,,m,,,,
5859:55 [6093],m,m,m,m,m,m,,
5862:1 [6094],m,m,m,,m,m,m,
5862:59 [6095],,,,,,,,
5871:3 [6096],,,,,Sd,m,,
5871:32 [6097],m,m,m,m,,m,,
5871:33 [6098],Sd,m,,,,,m,
5871:36 [6099],,,Sd,,,Sd,,
5871:59 [6100],,m,m,,m,m,m,
5872:10 [6101],,Sd,,,,Sd,,
5872:12 [6102],,m,m,m,m,m,m,
5872:39 [6103],,m,,m,m,,,
5872:62 [6104],,,,,,,,
5872:75 [6105],m,m,Sd,m,m,m,,
5872:76 [6106],,,,,,,,
5872:77 [6107],,m,,,m,m,m,
5874:20 [6108],,,,,,,,
5874:29 [6109],,Sd,,,Sd,,m,
5874:75 [6110],m,Sd,,,,m,,
5877:4 [6111],,,,,,m,,
5877:38 [6112],m,,,,,,,
5877:40 [6113],m,,,,,,,
5877:43 [6114],Sd,,,,,,,
5877:57 [6115],,Sd,,,,,,
5877:59 [6116],,,,,,,,
5877:60 [6117],m,,,,,,,
5877:74 [6118],,,,,,m,,
5884:46 [6119],,m,,,,,,
5884:80 [6120],,,,,,,,
5898:25 [6121],,Sd,,,,,,
5898:34 [6122],m,,m,,m,m,m,
5898:52 [6123],,,m,m,,,m,
5900:59 [6124],m,m,m,m,m,,,
5900:80 [6125],m,m,m,m,m,,,
5901:6 [6126],,,,,,,,
5901:9 [6127],,,m,,,m,,
5901:55 [6128],,m,,,,,,
5904:7 [6129],,,,,,,,
5904:41 [6130],,m,,m,m,m,m,
5904:42 [6131],,,,,,,,
5904:72 [6132],,,,Sd,,,,
5904:79 [6133],,,,Sd,,,,
5911:18 [6134],,m,m,,m,m,m,
5912:51 [6135],,,Sd,Sd,,,m,
5912:53 [6136],,,m,m,,,m,
5912:71 [6137],,m,m,,,m,m,
5917:34 [6138],,Sd,Sd,,,,,
5917:69 [6139],,Sd,Sd,,,,,
5919:39 [6140],Sd,m,m,,m,m,,
5922:18 [6141],,,,,,,m,
5922:22 [6142],m,,,,,,Sd,
5922:26 [6143],m,,,,,,Sd,
5922:52 [6144],,,,m,,,Sd,
5922:57 [6145],,,,,,,,
5922:63 [6146],,,,,,,m,
5922:71 [6147],m,,,,,,Sd,
5924:13 [6148],,,,,,,,
5924:27 [6149],m,m,m,,m,,m,
5928:12 [6150],,,Sd,Sd,,,Sd,
5928:18 [6151],,,,m,,,m,
5928:29 [6152],,,,Sd,,Sd,,
5928:30 [6153],m,,m,Sd,m,m,m,
5928:32 [6154],,,Sd,Sd,,,Sd,
5928:35 [6155],m,m,Sd,m,m,,Sd,
5928:36 [6156],m,m,Sd,m,m,,Sd,
5928:38 [6157],,,,,,,Sd,
5928:59 [6158],m,,m,Sd,m,m,m,
5928:66 [6159],,,,,,,Sd,
5928:72 [6160],,,,,,,,
5933:4 [6161],,Sd,,,Sd,,Sd,
5933:19 [6162],,,,,,,m,
5933:24 [6163],,,,,m,,m,
5933:29 [6164],,Sd,,,,,Sd,
5933:31 [6165],m,m,,,m,m,m,
5933:32 [6166],m,Sd,,m,m,m,m,
5933:50 [6167],,,,,,,,
5933:56 [6168],,Sd,,,,,Sd,
5935:22 [6169],m,m,m,m,m,,,
5935:52 [6170],,m,m,m,m,,,
5939:33 [6171],Sd,,,,,,,
5939:34 [6172],,m,,,,,,
5939:44 [6173],m,,,,,,,
5939:50 [6174],Sd,,,,,,,
5939:64 [6175],,,,m,,,Sd,
5941:3 [6176],m,m,m,,m,m,,
5941:11 [6177],m,m,m,,m,m,,
5941:35 [6178],m,m,m,,m,,,
5941:36 [6179],m,m,m,,m,,m,
5941:37 [6180],m,m,m,,m,m,,
5941:55 [6181],m,m,,,m,m,m,
5941:64 [6182],,,,,,,,
5941:76 [6183],m,m,m,,m,m,,
5942:18 [6184],Sd,m,m,m,m,m,,
5942:36 [6185],,,m,m,,,,
5942:44 [6186],Sd,m,m,m,m,m,,
5942:48 [6187],Sd,m,m,m,m,m,,
5942:77 [6188],,Sd,,Sd,,,,
5945:2 [6189],,,,,,Sd,Sd,
5945:11 [6190],m,m,m,,,m,Sd,
5945:12 [6191],,,,,,,Sd,
5945:41 [6192],Sd,,,,,,Sd,
5945:48 [6193],,,,,,Sd,Sd,
5945:67 [6194],,m,m,m,,m,m,
5951:36 [6195],,,,m,m,,,
5954:15 [6196],Sd,m,m,m,m,m,Sd,
5954:18 [6197],Sd,m,m,m,m,m,Sd,
5954:23 [6198],,Sd,,,,,,
5954:24 [6199],,,Sd,Sd,Sd,,,
5954:25 [6200],,,m,m,Sd,,,
5954:26 [6201],,,Sd,Sd,Sd,Sd,Sd,SIGN
5954:38 [6202],m,,,m,m,,Sd,
5954:72 [6203],,,Sd,Sd,Sd,Sd,Sd,SIGN
5955:1 [6204],Sd,,,,,,,
5955:11 [6205],m,m,m,,,,m,
5955:44 [6206],m,m,,,,m,m,
5955:80 [6207],Sd,,,,,,,
5956:4 [6208],,,,,,,,
5956:14 [6209],m,,m,m,,,m,
5956:18 [6210],m,,m,m,Sd,Sd,m,
5956:37 [6211],,,,,,,,
5956:38 [6212],m,m,m,,,m,,
5956:39 [6213],,,m,,,,m,
5956:48 [6214],m,,m,,Sd,,m,
5956:54 [6215],,,,,,,,
5956:58 [6216],,m,,,,,m,
5956:63 [6217],m,m,Sd,m,m,,m,
5956:69 [6218],m,,m,m,,,m,
5956:76 [6219],,,m,,,,m,
5957:30 [6220],,,m,,,,,
5958:4 [6221],m,m,,m,m,m,m,
5958:74 [6222],,m,,m,m,m,,
5958:77 [6223],,m,,m,m,m,,
5958:79 [6224],m,,,,Sd,m,,
5959:27 [6225],,,,m,,m,,
5959:49 [6226],,,,,,,,
5960:7 [6227],m,,m,m,m,m,,
5960:19 [6228],Sd,Sd,m,,,m,m,
5961:45 [6229],m,m,m,m,,m,,
5961:67 [6230],m,m,m,,,m,,
5962:41 [6231],Sd,,m,m,,,,
5963:47 [6232],,,m,,Sd,m,Sd,
5965:9 [6233],,Sd,,Sd,,Sd,,
5965:63 [6234],m,m,,m,m,,m,
5965:77 [6235],m,m,,m,m,,m,
5973:51 [6236],m,m,m,m,m,m,,
5974:13 [6237],,,,,,,,
5974:69 [6238],,,m,m,,,Sd,
5981:38 [6239],Sd,,Sd,,,,,
5984:8 [6240],,,,,,,,
5984:29 [6241],,,,,,,,
5984:40 [6242],m,m,m,,,m,m,
6001:64 [6243],,m,m,m,m,,m,
6001:73 [6244],m,m,m,m,m,,Sd,
6006:36 [6245],,,,,,,m,
6006:56 [6246],,m,m,,m,,,
6012:21 [6247],Sd,,,,m,,Sd,
6012:24 [6248],,m,,m,,,Sd,
6012:44 [6249],,m,,Sd,Sd,,,
6013:9 [6250],Sd,,,,,,,
6013:13 [6251],m,m,,,m,m,m,
6013:37 [6252],m,m,,,m,m,m,
6013:40 [6253],m,m,,,m,m,m,
6013:51 [6254],Sd,,,,,,,
6013:66 [6255],Sd,,,,,,,
6013:70 [6256],m,m,,,m,m,m,
6013:75 [6257],Sd,,,,,,,
6013:77 [6258],m,,m,m,,,m,
6017:4 [6259],,Sd,m,m,m,,m,
6022:4 [6260],,,,,,,,
6022:22 [6261],Sd,,,,,,,
6022:69 [6262],Sd,,,,,,,
6022:75 [6263],Sd,,,,,,,
6023:30 [6264],,,,,,Sd,,
6023:32 [6265],,,,,,m,,
6023:46 [6266],,,,,Sd,,,
6030:70 [6267],,,,,,,,
6035:20 [6268],,,,m,,,,
6038:40 [6269],,m,,m,m,m,m,
6047:3 [6270],Sd,Sd,,,,,,
6047:13 [6271],m,m,,m,,,,
6047:40 [6272],m,m,,m,,,,
6047:50 [6273],m,m,,m,,,,
6047:53 [6274],,,,,,,,
6047:72 [6275],m,m,,m,m,,m,
6052:5 [6276],m,,m,,,,,
6052:7 [6277],,,,,,,,
6052:12 [6278],,,,,,,,
6052:26 [6279],m,m,m,,,,m,
6052:30 [6280],m,,m,,m,,,
6052:32 [6281],,,,,,,,
6052:34 [6282],m,m,m,,,,,
6064:61 [6283],,,,,,,,
6064:67 [6284],m,Sd,,,,,m,
6065:23 [6285],m,m,m,,,m,,
6065:34 [6286],Sd,Sd,Sd,Sd,,,Sd,SIGN
6065:39 [6287],m,,,,m,Sd,m,
6065:75 [6288],Sd,Sd,Sd,Sd,,Sd,Sd,SIGN
6065:76 [6289],Sd,Sd,Sd,Sd,,Sd,Sd,SIGN
6068:3 [6290],,,,,,m,,
6068:6 [6291],m,m,m,m,m,m,,
6068:31 [6292],,,,,,m,,
6068:36 [6293],,,,,,m,,
6068:38 [6294],,,,,,m,,
6068:70 [6295],,,,,,m,,
6070:4 [6296],m,,,,,,,
6070:30 [6297],,Sd,m,,,,,
6070:45 [6298],m,,,m,m,,m,
6070:50 [6299],Sd,,,,,,Sd,
6070:56 [6300],Sd,,,,,,,
6070:68 [6301],,,m,,m,,m,
6072:6 [6302],m,m,,m,m,,m,
6072:9 [6303],m,m,,m,m,m,,
6072:20 [6304],,m,m,,,m,,
6072:21 [6305],,,,,,,,
6072:31 [6306],,m,,,,m,m,
6072:77 [6307],m,m,,m,m,,m,
6082:2 [6308],m,,,,,,m,
6086:77 [6309],,m,m,m,,m,m,
6086:78 [6310],,m,m,m,,m,m,
6087:24 [6311],,m,m,m,,,,
6087:25 [6312],,,Sd,,,Sd,,
6092:30 [6313],m,m,,,,,m,
6093:24 [6314],Sd,m,,,,,,
6093:48 [6315],Sd,m,m,,,Sd,,
6093:52 [6316],Sd,,,,,,Sd,
6100:24 [6317],,Sd,,Sd,,,Sd,
6100:35 [6318],m,Sd,m,,m,,m,
6100:36 [6319],Sd,Sd,,,,,Sd,
6100:69 [6320],Sd,Sd,,,,,Sd,
6102:9 [6321],,,,,,,,
6102:48 [6322],,,,,,,,
6102:52 [6323],,,,,,,,
6102:69 [6324],,,,m,m,m,m,
6102:75 [6325],,,,,,,,
6105:28 [6326],Sd,Sd,,m,m,m,,
6105:57 [6327],,m,,m,m,m,m,
6117:2 [6328],m,,,m,,,m,
6117:24 [6329],m,m,,,,,,
6117:31 [6330],,,,,m,m,,
6117:36 [6331],,,,,,,,
6117:39 [6332],m,m,,,m,m,,
6117:71 [6333],m,m,,,,,,
6120:8 [6334],m,m,Sd,m,,Sd,m,
6120:80 [6335],,m,m,,m,m,m,
6126:10 [6336],,,,,,,,
6126:69 [6337],m,Sd,m,,Sd,Sd,Sd,
6129:27 [6338],m,,Sd,,,,,
6129:55 [6339],,,m,,,,m,
6133:35 [6340],Sd,,,,,,,
6134:1 [6341],Sd,m,,m,m,m,m,
6134:10 [6342],m,,,m,,,m,
6134:28 [6343],m,m,m,m,m,m,,
6134:62 [6344],m,m,m,m,m,m,m,FIXED
6134:68 [6345],,Sd,,,Sd,,,
6135:30 [6346],,,,,m,,,
6135:31 [6347],,m,m,m,m,,,
6135:62 [6348],,m,m,m,m,,m,
6135:63 [6349],m,m,m,m,m,m,m,FIXED
6135:75 [6350],,,,,,,Sd,
6135:80 [6351],m,m,m,m,,,m,
6140:20 [6352],,,m,,,,,
6140:40 [6353],m,m,,m,,m,m,
6140:48 [6354],,,,,,Sd,,
6140:61 [6355],,,,,,Sd,,
6140:78 [6356],,,m,,,,,
6141:10 [6357],,m,,,m,,m,
6141:35 [6358],m,m,,m,m,m,,
6141:47 [6359],,m,m,,,,m,
6141:58 [6360],,m,,,m,,m,
6141:73 [6361],,m,,,m,,m,
6144:43 [6362],,,,,,,m,
6144:71 [6363],Sd,,m,,,,,
6153:78 [6364],m,m,Sd,m,Sd,m,m,
6157:41 [6365],m,m,,Sd,,,m,
6157:42 [6366],Sd,,,,m,m,,
6157:48 [6367],,,,,,Sd,m,
6157:50 [6368],,,m,Sd,,,Sd,
6157:51 [6369],,,m,,,,Sd,
6157:56 [6370],m,m,,,m,m,,
6161:48 [6371],m,m,m,,m,,m,
6161:73 [6372],Sd,m,,m,m,m,m,
6163:9 [6373],,m,m,,,,m,
6163:23 [6374],,m,m,,,,m,
6163:46 [6375],,Sd,,Sd,,Sd,,
6163:50 [6376],,,m,,,,Sd,
6163:54 [6377],,m,,,,,m,
6164:11 [6378],,,,,,,,
6164:14 [6379],,m,m,m,m,,m,
6164:23 [6380],m,m,,,,m,m,
6164:36 [6381],,,,,,,,
6164:39 [6382],,,,m,Sd,,,
6164:41 [6383],,,,,,,,
6164:66 [6384],m,m,m,,Sd,m,m,
6164:70 [6385],,,,,,,,
6165:23 [6386],,,,,,,,
6165:35 [6387],,,,Sd,,,,
6165:44 [6388],,m,,m,,,m,
6165:53 [6389],m,,m,m,Sd,m,m,
6167:3 [6390],m,,m,m,,,m,
6167:18 [6391],m,,m,m,,m,m,
6167:19 [6392],m,,m,m,,m,m,
6167:29 [6393],m,,m,m,,m,m,
6167:30 [6394],,m,,,m,m,,
6167:39 [6395],m,,m,m,,m,m,
6168:76 [6396],,,m,,m,,,
6168:78 [6397],,,,,,,,
6169:1 [6398],m,m,m,m,,,Sd,
6169:19 [6399],,,,,,,,
6169:28 [6400],m,m,m,m,,m,Sd,
6169:70 [6401],,,,,,Sd,Sd,
6173:10 [6402],,,,m,,,m,
6173:75 [6403],,,m,,m,,,
6174:11 [6404],,m,,,,,,
6174:12 [6405],,m,,,,,,
6174:24 [6406],m,,m,m,m,Sd,m,
6174:50 [6407],,m,,,,,,
6175:18 [6408],Sd,,,,,,,
6175:20 [6409],Sd,,,,,,,
6175:26 [6410],,,,,,,,
6175:40 [6411],,,,,,m,,
6175:78 [6412],,,Sd,,,,,
6179:28 [6413],m,m,m,,m,,m,
6179:38 [6414],m,m,m,,m,,m,
6179:53 [6415],,Sd,m,m,,m,,
6179:55 [6416],,m,,m,,,,
6179:74 [6417],Sd,,,,,,,
6185:15 [6418],Sd,m,,,,m,,
6185:17 [6419],,,m,,,,,
6185:18 [6420],,,,,,,,
6185:24 [6421],,,m,,,,m,
6185:53 [6422],,,m,,,,m,
6187:9 [6423],Sd,,m,Sd,,m,,
6187:68 [6424],m,m,,,m,m,m,
6187:71 [6425],m,m,m,m,Sd,m,,
6194:31 [6426],Sd,,,m,,,,
6195:6 [6427],,,,,,Sd,,
6195:13 [6428],Sd,,,,,Sd,,
6195:57 [6429],,,,,,Sd,,
6195:68 [6430],,,,,,,,
6195:71 [6431],,,,,,Sd,,
6197:2 [6432],m,m,m,,m,,m,
6197:6 [6433],,,Sd,,,,,
6197:8 [6434],m,m,m,,m,,m,
6197:13 [6435],m,,Sd,,,,,
6197:36 [6436],,m,m,m,m,,m,
6197:45 [6437],Sd,Sd,Sd,,,,,
6197:58 [6438],Sd,Sd,Sd,m,,,,
6197:72 [6439],m,m,m,,m,,m,
6201:5 [6440],,,,,,,,
6201:35 [6441],,,,,,,m,
6202:11 [6442],,,,,Sd,,,
6202:15 [6443],,m,m,,m,,,
6202:25 [6444],Sd,,,,,,,
6202:44 [6445],m,,Sd,,m,m,m,
6202:51 [6446],,,,,m,,,
6202:60 [6447],m,m,,m,m,Sd,m,
6202:69 [6448],,,,,Sd,,,
6202:70 [6449],,,,,,,Sd,
6202:73 [6450],Sd,,m,m,m,,m,
6202:77 [6451],,,,,Sd,,,
6202:79 [6452],m,,m,,,,,
6210:54 [6453],m,,m,m,m,,m,
6210:70 [6454],m,,Sd,m,m,m,Sd,
6210:76 [6455],,m,m,m,m,,,
6216:71 [6456],,m,m,m,,m,m,
6216:72 [6457],,m,m,m,,m,m,
6219:44 [6458],,,,Sd,,,,
6219:59 [6459],m,m,m,m,m,,Sd,
6225:12 [6460],m,Sd,,,m,m,,
6225:30 [6461],,,Sd,m,m,,,
6225:47 [6462],,,,,,,Sd,
6226:6 [6463],,,,,Sd,,,
6226:69 [6464],,Sd,,,,,Sd,
6226:72 [6465],,,,,Sd,,,
6227:13 [6466],Sd,,,,Sd,,,
6227:23 [6467],,,,Sd,,Sd,,
6228:3 [6468],,,m,,m,m,,
6228:7 [6469],,,,,,,,
6228:26 [6470],,,,,,,,
6228:51 [6471],,,m,,m,m,,
6228:63 [6472],,,m,,m,m,,
6229:17 [6473],,,,,Sd,,,
6229:49 [6474],,,,,Sd,,,
6229:67 [6475],,,,,Sd,,,
6229:80 [6476],,,,,Sd,,,
6231:38 [6477],,,,,,,,
6232:9 [6478],,,Sd,Sd,,,m,
6232:28 [6479],,,m,m,m,m,,
6232:33 [6480],Sd,,,,,,,
6232:42 [6481],m,m,m,m,m,m,,
6232:54 [6482],,m,m,m,,,,
6246:44 [6483],,,,,Sd,,,
6249:10 [6484],,,,,,Sd,,
6249:53 [6485],,,,,,Sd,,
6249:59 [6486],,,,,,Sd,,
6249:79 [6487],,,,,,Sd,,
6252:3 [6488],,,,,,,,
6252:8 [6489],,m,,,,,,
6252:26 [6490],m,,,m,,m,m,
6252:27 [6491],m,m,,m,,m,m,
6252:50 [6492],,,,,,,,
6252:51 [6493],,,,m,,,m,
6252:53 [6494],,m,,,,,,
6252:59 [6495],,m,m,m,,,m,
6254:4 [6496],,m,m,,,,m,
6254:25 [6497],,,,Sd,,Sd,,
6254:27 [6498],,m,m,,,,m,
6254:30 [6499],,m,m,,,,m,
6254:52 [6500],,,,,Sd,Sd,Sd,
6254:69 [6501],,m,m,,,,m,
6254:79 [6502],m,m,,m,m,m,,
6255:43 [6503],m,,,m,,m,m,
6255:50 [6504],,,,,,,,
6255:51 [6505],m,m,,m,m,m,,
6255:60 [6506],m,m,,m,m,,,
6255:76 [6507],,Sd,m,m,,,m,
6256:12 [6508],,,m,,,,,
6260:7 [6509],,,,,,m,,
6260:9 [6510],,,,,,m,,
6263:1 [6511],,,,,,,,
6263:11 [6512],,,,,,,,
6263:28 [6513],m,m,,m,m,m,m,
6263:32 [6514],,,,,Sd,,,
6266:28 [6515],m,,,m,,,,
6277:15 [6516],,,,,Sd,,Sd,
6277:34 [6517],,m,,,m,m,,
6279:8 [6518],,m,m,m,m,,,
6279:66 [6519],,,,,,,,
6281:14 [6520],m,m,m,m,m,m,m,FIXED
6281:23 [6521],m,m,m,m,m,m,m,FIXED
6281:55 [6522],m,m,m,,,m,m,
6281:60 [6523],,Sd,Sd,Sd,,,,
6286:13 [6524],,,,,,,,
6286:51 [6525],,,,,,,,
6287:14 [6526],,,,,,,,
6287:35 [6527],,,,,,,,
6288:66 [6528],m,m,m,,m,Sd,,
6293:14 [6529],,m,Sd,m,m,,m,
6293:15 [6530],,m,m,m,,m,m,
6293:16 [6531],,m,Sd,m,m,,m,
6293:26 [6532],,m,Sd,m,m,,m,
6293:72 [6533],,,,,Sd,,,
6294:20 [6534],m,m,,m,m,,m,
6294:24 [6535],,,,m,Sd,,,
6294:39 [6536],m,m,,m,m,,m,
6294:53 [6537],m,m,,m,m,,m,
6295:16 [6538],,m,m,,m,,,
6295:26 [6539],,,,,,,,
6295:66 [6540],,m,,m,m,,,
6295:71 [6541],m,,m,m,m,,,
6297:10 [6542],,m,m,,,,Sd,
6297:32 [6543],m,m,,m,m,,m,
6297:47 [6544],,m,m,m,,m,Sd,
6298:50 [6545],m,,,,m,m,m,
6298:70 [6546],m,,,,m,m,m,
6299:2 [6547],,,,,m,,,
6299:12 [6548],,,,,m,,,
6299:44 [6549],Sd,,,,,,,
6299:45 [6550],m,,,,,,m,
6299:80 [6551],,,,,m,,,
6303:16 [6552],m,,m,Sd,,,,
6303:17 [6553],,,,,,,,
6303:44 [6554],,m,,m,,,,
6303:65 [6555],,,,,,,m,
6309:4 [6556],m,,m,m,m,,,
6309:12 [6557],,,,,,,,
6309:60 [6558],Sd,,,m,,,m,
6310:4 [6559],,,m,m,m,,m,
6310:48 [6560],,,,,,,,
6310:76 [6561],,Sd,,Sd,,,,
6317:30 [6562],m,,,,,m,m,
6319:3 [6563],,,m,,Sd,m,,
6319:10 [6564],Sd,,m,m,,m,,
6319:22 [6565],m,,,,m,,,
6319:29 [6566],m,m,m,m,m,m,,
6319:48 [6567],,Sd,,,,,,
6319:59 [6568],,,,,,m,m,
6337:17 [6569],,,,,,,,
6337:19 [6570],m,,,,,,,
6337:21 [6571],,,,,,,,
6337:47 [6572],m,,m,m,m,m,m,
6337:74 [6573],m,m,m,m,m,,,
6337:75 [6574],,,m,m,m,m,m,
6337:76 [6575],m,m,m,m,m,,,
6340:9 [6576],,,,,,,,
6340:52 [6577],,,,,,,,
6340:66 [6578],m,,m,,,m,m,
6341:46 [6579],,Sd,,,m,,,
6342:25 [6580],m,m,,m,,Sd,m,
6342:42 [6581],,,m,m,m,m,m,
6342:76 [6582],Sd,,,,,Sd,Sd,
6346:40 [6583],,m,m,,,,Sd,
6346:41 [6584],,m,m,,m,m,m,
6346:55 [6585],,m,m,m,,,Sd,
6346:59 [6586],,m,m,m,,,Sd,
6347:40 [6587],,m,m,,m,m,m,
6347:58 [6588],m,m,m,,,m,m,
6347:64 [6589],,,,m,,m,,
6347:75 [6590],,,,,,,,
6350:16 [6591],Sd,m,,m,m,m,m,
6350:41 [6592],,,,,,,,
6350:64 [6593],m,m,m,m,,m,,
6350:67 [6594],,m,,,,,m,
6350:69 [6595],m,,m,m,m,m,Sd,
6354:16 [6596],,,,,Sd,,,
6354:30 [6597],m,,m,,m,,m,
6354:65 [6598],Sd,m,,Sd,,m,m,
6356:8 [6599],,,,,,,,
6356:36 [6600],,,,,,,,
6356:43 [6601],,m,,,,,,
6356:49 [6602],,,,,,,,
6356:62 [6603],,m,m,m,m,m,,
6356:72 [6604],,,,,,,,
6356:78 [6605],,m,,,,,,
6359:64 [6606],Sd,,m,m,m,m,m,
6360:26 [6607],m,,m,,,,,
6360:29 [6608],m,,,,,,,
6360:32 [6609],m,m,,,m,m,m,
6360:38 [6610],m,m,,,m,m,,
6360:42 [6611],m,m,,,m,m,m,
6360:60 [6612],m,,m,,m,,m,
6362:13 [6613],,,Sd,,,,,
6362:41 [6614],m,m,,,m,,,
6362:43 [6615],,,Sd,,,,,
6362:45 [6616],m,m,m,m,,,m,
6362:47 [6617],m,Sd,m,,,,m,
6362:72 [6618],Sd,,,,,,,
6362:74 [6619],,,Sd,,,,,
6362:76 [6620],Sd,m,,,,m,,
6362:77 [6621],,,Sd,,Sd,,,
6367:58 [6622],,m,m,,m,,m,
6370:13 [6623],,,,,,,,
6370:30 [6624],,,Sd,,,,,
6370:36 [6625],,,Sd,,,,,
6370:46 [6626],,,,,,,,
6370:57 [6627],,,,,,,,
6370:66 [6628],,,Sd,,,,,
6375:14 [6629],,,,,,Sd,,
6375:25 [6630],m,m,,m,m,,m,
6375:34 [6631],m,m,m,m,m,m,,
6375:68 [6632],,,,,,,,
6378:10 [6633],,m,,m,m,,Sd,
6378:11 [6634],m,Sd,,m,m,,m,
6378:17 [6635],m,m,m,,m,m,m,
